doc_id,expectation,mention_text
17919894,1,'0.013'
17919894,0.986,'0.733'
17919894,0.999,'0.045'
17919894,0.991,'0.017'
17919894,0.989,'0.067'
17919894,1,'0.104'
17919894,1,'0.042'
17919894,1,'0.001'
17919894,0.982,'0.051'
17919894,0.997,'0.001'
17919894,0.999,'0.001'
17919894,0.984,'0.009'
17919894,0.987,'0.617'
17919894,1,'0.001'
17919894,0.993,'0.001'
17919894,0.989,'0.006'
17919894,1,'0.195'
15954919,0.999,'0.42'
15954919,0.999,'0.49'
15954919,0.999,'0.294'
18641111,0.999,'0.24'
18641111,0.999,'0.38'
18641111,0.999,'0.46'
18641111,0.998,'0.09'
18641111,1,'0.01'
18641111,1,'0.002'
18641111,0.999,'0.7'
17933438,0.999,'0.05'
17933438,0.999,'0.05'
17933438,0.998,'0.05'
17933438,0.999,'0.05'
16580189,0.974,'0.048'
16580189,0.995,'0.048'
17113893,1,'0.018'
17113893,1,'0.598'
17113893,0.997,'0.010'
17113893,0.996,'0.020'
17113893,0.983,'0.949'
17113893,0.994,'0.761'
17113893,0.993,'0.130'
17113893,0.993,'0.536'
17113893,0.998,'0.809'
17113893,0.991,'0.935'
17113893,0.997,'0.020'
17113893,0.985,'0.019'
17113893,0.994,'0.010'
17113893,0.996,'0.016'
17113893,0.991,'0.003'
17113893,0.923,'0.05'
17113893,1,'0.814'
17113893,0.989,'0.050'
17113893,0.992,'0.018'
17113893,0.999,'0.003'
17113893,0.996,'0.015'
17113893,0.998,'0.001'
17113893,0.99,'0.004'
17113893,0.992,'0.001'
17113893,0.999,'0.001'
17113893,1,'0.003'
17113893,1,'0.021'
17113893,1,'0.001'
17113893,1,'0.001'
17113893,1,'0.006'
17113893,1,'0.006'
17113893,1,'0.015'
17113893,1,'0.007'
17113893,1,'0.026'
17113893,1,'0.001'
17113893,1,'0.532'
17113893,1,'0.008'
17113893,1,'0.003'
17113893,1,'0.014'
17113893,0.999,'0.004'
17113893,1,'0.023'
17113893,1,'0.001'
17113893,1,'0.028'
17113893,1,'0.028'
17113893,0.999,'0.006'
17113893,1,'0.013'
17113893,1,'0.004'
17113893,0.998,'0.03'
17113893,0.996,'0.001'
17113893,0.992,'0.011'
17113893,0.997,'0.013'
17113893,0.996,'0.010'
17113893,0.996,'0.002'
17113893,0.992,'0.033'
17113893,0.994,'0.012'
17113893,0.989,'0.001'
17113893,0.999,'0.001'
17113893,0.998,'0.001'
17113893,0.988,'0.116'
18547757,0.994,'0.001'
17113893,0.991,'0.038'
17113893,0.994,'0.001'
17113893,1,'0.001'
17113893,0.999,'0.012'
17113893,0.991,'0.073'
17113893,0.992,'0.606'
17113893,0.997,'0.896'
17113893,0.995,'0.470'
17113893,0.998,'0.020'
17113893,0.996,'0.009'
17113893,0.993,'0.071'
17113893,0.995,'0.077'
17113893,0.993,'0.115'
17113893,0.996,'0.272'
17113893,0.994,'0.013'
17113893,0.996,'0.002'
17113893,0.992,'0.011'
18547757,0.999,'0.210'
18547757,0.998,'0.05'
18547757,1,'0.012'
17494789,1,'0.05'
17494789,1,'0.001'
17494789,1,'0.001'
17494789,0.991,'0.001'
17494789,0.991,'0.001'
17494789,0.986,'0.001'
17494789,0.996,'0.001'
17494789,0.999,'0.001'
19233423,1,'0.0001'
19233423,0.998,'0.0017'
19233423,1,'0.0018'
19233423,0.999,'0.1372'
19233423,0.998,'0.0363'
19233423,0.949,'0.0160'
19233423,0.998,'0.0060'
19233423,0.998,'0.0358'
18656731,0.999,'0.04'
18656731,0.999,'0.058'
18656731,1,'0.0003'
18656731,0.999,'0.096'
18342185,0.998,'0.01'
18342185,1,'0.001'
18342185,1,'0.001'
18342185,0.99,'0.05'
18342185,0.982,'0.01'
18342185,1,'0.001'
19643262,1,'0.001'
18922335,1,'0.03'
18922335,1,'0.13'
18922335,0.998,'0.0005'
18922335,1,'0.27'
18922335,1,'0.05'
18922335,1,'0.04'
18922335,1,'0.007'
